problemsize,gflops,time,kernelname
"2208, 1335, 1, 4608",228342,118.97, Cijk_Ailk_Bljk_HHS_BH_MT128x96x64_MI32x32x8x1_SN_K1_MIWT1_3_SU0_SUS0_WSGRA0_WSGRB1_WGM64
"2208, 1408, 1, 4608",239736,119.512, Cijk_Ailk_Bljk_HHS_BH_MT128x96x64_MI32x32x8x1_SN_K1_MIWT1_3_SU0_SUS0_WSGRA1_WSGRB1_WGM32
"4608, 1, 1, 320",245.852,11.9955, Cijk_Ailk_Bljk_HHS_BH_MT128x32x64_MI32x32x8x1_SN_K1_MIWT1_1_SU0_SUS0_WSGRA0_WSGRB0_WGM64
"4608, 16, 1, 320",3761.18,12.5455, Cijk_Ailk_Bljk_HHS_BH_MT128x32x64_MI32x32x8x1_SN_K1_MIWT1_1_SU0_SUS0_WSGRA0_WSGRB0_WGM1
"4608, 1335, 1, 320",133050,29.5909, Cijk_Ailk_Bljk_HHS_BH_MT128x96x32_MI32x32x8x1_SN_K1_MIWT1_3_SU32_SUS256_WSGRA1_WSGRB0_WGM32
"4608, 1408, 1, 320",141773,29.2888, Cijk_Ailk_Bljk_HHS_BH_MT192x128x32_MI32x32x8x1_SN_K1_MIWT3_2_SU4_SUS128_WSGRA0_WSGRB0_WGM16
"1536, 1335, 1, 4608",189251,99.8564, Cijk_Ailk_Bljk_HHS_BH_MT128x64x64_MI32x32x8x1_SN_K1_MIWT1_2_SU0_SUS0_WSGRA0_WSGRB0_WGM64
"1536, 1408, 1, 4608",199428,99.9424, Cijk_Ailk_Bljk_HHS_BH_MT128x64x64_MI32x32x8x1_SN_K1_MIWT1_2_SU0_SUS0_WSGRA0_WSGRB0_WGM110
"4608, 1, 1, 1536",540.361,26.1969, Cijk_Ailk_Bljk_HHS_BH_MT64x32x64_MI32x32x8x1_SN_K1_MIWT1_1_SU0_SUS0_WSGRA0_WSGRB0_WGM1
"4608, 16, 1, 1536",8417.62,26.9069, Cijk_Ailk_Bljk_HHS_BH_MT64x32x64_MI32x32x8x1_SN_K1_MIWT1_1_SU0_SUS0_WSGRA0_WSGRB0_WGM64
"4608, 1335, 1, 1536",252879,74.7313, Cijk_Ailk_Bljk_HHS_BH_MT128x192x32_MI32x32x8x1_SN_K1_MIWT2_3_SU0_SUS0_WSGRA1_WSGRB0_WGM110
"4608, 1408, 1, 1536",269526,73.9497, Cijk_Ailk_Bljk_HHS_BH_MT128x192x32_MI32x32x8x1_SN_K1_MIWT2_3_SU4_SUS256_WSGRA0_WSGRB0_WGM8
