problemsize,gflops,time,kernelname
"2208, 1335, 1, 4608",223905.0,121.328, Cijk_Ailk_Bljk_HHS_BH_MT128x96x64_MI32x32x8x1_SN_1LDSB0_GRVW8_K1_LPB8_LRVW8_MIWT1_3_PLR9_SS0_SRVW4_SVW4
"2208, 1408, 1, 4608",232560.0,123.2, Cijk_Ailk_Bljk_HHS_BH_MT128x96x64_MI32x32x8x1_SN_1LDSB0_GRVW8_K1_LPB8_LRVW8_MIWT1_3_PLR9_SS0_SRVW4_SVW4
"4608, 1, 1, 320",223.562,13.1915, Cijk_Ailk_Bljk_HHS_BH_MT128x32x64_MI32x32x8x1_SN_1LDSB0_GRVW8_K1_LPB8_LRVW8_MIWT1_1_NLCA1_PLR9_SS0_SRVW4_SVW4_WG128_2_1
"4608, 16, 1, 320",3428.34,13.7635, Cijk_Ailk_Bljk_HHS_BH_MT128x32x64_MI32x32x8x1_SN_1LDSB0_GRVW8_K1_LPB8_LRVW8_MIWT1_1_NLCA1_PLR9_SS1_SRVW0_SVW1_WG128_2_1
"4608, 1335, 1, 320",131206.0,30.0069, Cijk_Ailk_Bljk_HHS_BH_MT128x96x32_MI32x32x8x1_SN_1LDSB0_GRVW4_K1_LPB4_LRVW4_MIWT1_3_PLR5_SS0_SRVW4_SVW4
"4608, 1408, 1, 320",140782.0,29.495, Cijk_Ailk_Bljk_HHS_BH_MT192x128x32_MI32x32x8x1_SN_1LDSB0_GRVW8_K1_LPB8_LRVW4_MIWT3_2_PLR1_SS1_SVW1_WG64_4_1
"1536, 1335, 1, 4608",184427.0,102.468, Cijk_Ailk_Bljk_HHS_BH_MT128x64x64_MI32x32x8x1_SN_1LDSB0_GRVW8_K1_LPB8_LRVW8_MIWT1_2_PLR9_SS0_SRVW4_SVW4
"1536, 1408, 1, 4608",195282.0,102.064, Cijk_Ailk_Bljk_HHS_BH_MT128x64x64_MI32x32x8x1_SN_1LDSB0_GRVW8_K1_LPB8_LRVW8_MIWT1_2_PLR9_SS1_SRVW0_SVW1
"4608, 1, 1, 1536",504.716,28.047, Cijk_Ailk_Bljk_HHS_BH_MT64x32x64_MI32x32x8x1_SN_1LDSB0_GRVW8_K1_LPB8_LRVW8_MIWT1_1_PLR9_SS0_SRVW0_SVW4_WG64_2_1
"4608, 16, 1, 1536",7929.55,28.5631, Cijk_Ailk_Bljk_HHS_BH_MT64x32x64_MI32x32x8x1_SN_1LDSB0_GRVW8_K1_LPB8_LRVW8_MIWT1_1_PLR9_SS1_SRVW0_SVW1_WG64_2_1
"4608, 1335, 1, 1536",248039.0,76.1894, Cijk_Ailk_Bljk_HHS_BH_MT128x192x32_MI32x32x8x1_SN_1LDSB0_GRVW8_K1_LPB8_LRVW8_MIWT2_3_PLR5_SS1_SRVW0_SVW2_VW2_WG64_4_1
"4608, 1408, 1, 1536",267846.0,74.4134, Cijk_Ailk_Bljk_HHS_BH_MT128x192x32_MI32x32x8x1_SN_1LDSB0_GRVW8_K1_LPB8_LRVW8_MIWT2_3_PLR5_SS1_SRVW0_SVW2_VW2_WG64_4_1
