problemsize,gflops,time,kernelname
"2208, 1335, 1, 4608",152736,177.862, Cijk_Ailk_Bljk_HHS_BH_MT64x96x64_MI16x16x16x1_SN_GRVW4_K1_LPB16_LRVW8_MIWT2_3_PLR5_SS1_SRVW0_SVW2_VW2
"2208, 1408, 1, 4608",160006,179.064, Cijk_Ailk_Bljk_HHS_BH_MT64x96x64_MI16x16x16x1_SN_GRVW4_K1_LPB16_LRVW8_MIWT2_3_PLR5_SS1_SRVW0_SVW2_VW2
"4608, 1, 1, 320",260.349,11.3275, Cijk_Ailk_Bljk_HHS_BH_MT64x16x64_MI16x16x16x1_SN_GRVW8_K1_LPB16_LRVW8_MIWT1_1_PLR5_SS0_SRVW0_SVW4_VW2
"4608, 16, 1, 320",4123.36,11.4436, Cijk_Ailk_Bljk_HHS_BH_MT64x16x64_MI16x16x16x1_SN_GRVW4_K1_LPB4_LRVW4_MIWT1_1_PLR5_SS1_SRVW0_SVW1_VW1
"4608, 1335, 1, 320",104708,37.6006, Cijk_Ailk_Bljk_HHS_BH_MT128x64x16_MI16x16x16x1_SN_GRVW4_K1_LPB4_MIWT2_4_SS1_SRVW0_SVW2_VW2
"4608, 1408, 1, 320",113238,36.6693, Cijk_Ailk_Bljk_HHS_BH_MT128x64x16_MI16x16x16x1_SN_GRVW4_K1_LPB4_MIWT2_4_SS1_SRVW0_SVW2_VW2
"1536, 1335, 1, 4608",164889,114.61, Cijk_Ailk_Bljk_HHS_BH_MT128x64x64_MI16x16x16x1_SN_GRVW8_K1_LPB16_LRVW8_MIWT2_4_PLR5_SS1_SRVW0_SVW2_VW2
"1536, 1408, 1, 4608",174112,114.474, Cijk_Ailk_Bljk_HHS_BH_MT128x64x64_MI16x16x16x1_SN_GRVW8_K1_LPB16_LRVW8_MIWT2_4_PLR5_SS1_SRVW0_SVW2_VW2
"4608, 1, 1, 1536",618.883,22.8731, Cijk_Ailk_Bljk_HHS_BH_MT64x16x64_MI16x16x16x1_SN_GRVW8_K1_LPB16_LRVW8_MIWT1_1_PLR5_SS0_SRVW0_SVW2_VW1
"4608, 16, 1, 1536",9754.55,23.2192, Cijk_Ailk_Bljk_HHS_BH_MT64x16x64_MI16x16x16x1_SN_GRVW8_K1_LPB16_LRVW8_MIWT1_1_PLR5_SS0_SRVW4_SVW2_VW8
"4608, 1335, 1, 1536",170041,111.138, Cijk_Ailk_Bljk_HHS_BH_MT128x64x64_MI16x16x16x1_SN_GRVW8_K1_LPB16_LRVW8_MIWT2_4_PLR5_SS0_SRVW4_SVW4_VW8
"4608, 1408, 1, 1536",180632,110.342, Cijk_Ailk_Bljk_HHS_BH_MT128x64x64_MI16x16x16x1_SN_GRVW8_K1_LPB16_LRVW8_MIWT2_4_PLR5_SS1_SRVW0_SVW2_VW2
